course_id,name,description,duration,rating,price,skills,course_type_specialization,difficulty_advanced,difficulty_beginner,difficulty_intermediate,school_name_unknown,program_type_unknown,field_unknown,major_unknown,department_unknown,expertise_unknown,subject_Arts and Humanities,subject_Business,subject_Computer Science,subject_DataScience,subject_Health,subject_Information Technology,subject_Math and Logic,subject_Personal Development,subject_Physical Science and Engineering,subject_Social Sciences,platform_unknown
1,search engine optimization seo specialization,complete competitive analysis webpage develop solid approach achieving productive successful relationship client create influencer relationship collaboration analyze data see content get sharescreate final report finding recommendation seo present recommendation client,1.7079194733876615,0.0,-0.2967418445758224,"['search algorithm', 'search engine optimization ( seo )', 'mathematical optimization', 'semantics', 'social medium marketing', 'social medium', 'content marketing', 'keyword research', 'marketing']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,think outside the inbox email marketing,understand email marketing fit digital marketing strategywrite effective email copy subject line preview texttest execute optimize email marketing campaignmeasure analyze email campaign result,-0.1923459098574439,0.0,-0.2967418445758224,"['email marketing analytics', 'email writing', 'contact management', 'email marketing strategy', 'email list segmentation']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,create successful pinterest pin for business in canva,create successful pinterest pin businesspinterest pin tip hack convert static pin video pinpreview share download publish pin,-0.672412954045681,0.0,-0.2967418445758224,"['canva', 'marketing', 'pinterest', 'graphic design']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,core o software security and operational procedure,list common feature command microsoft window apple macos linux os adjust preference command line console tool describe o feature install update o troubleshoot common issue summarize importance soho network explain advantage using active directory m window security tool data destruction secure mobile device evaluate support practice assessing utility privacy automation safety control method define malware best practice,-0.2123487033652871,0.0,-0.2967418445758224,"['technical support', 'security', 'operating system', 'it troubleshooting', 'mobile device']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,structural racism cause of health inequity in the u,describe impact structural racism individualsidentify discus historical event policy sociopolitical institution shaped contributed current health inequitiesapply public writing strategy work racial inequity health,-0.3523682579201896,0.0,-0.2967418445758224,"['healthcare', 'inequity']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,preparing for google cloud certification cloud architect professional certificate,learn skill needed successful cloud architect roleprepare professional cloud architect certificationlearn infrastructure platform service provided google cloud platform,0.10769599276020433,0.0,-0.2967418445758224,"['load balancing', 'virtual private network ( vpn )', 'google cloud platform', 'autoscaling', 'google compute engine', 'virtual machine', 'network architecture', 'google app engine ( gae )', 'cloud computing', 'disaster recovery', 'site reliability engineering', 'debugging', 'cloud storage', 'data store']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,algorithm for battery management system specialization,design equivalentcircuit model lithiumion battery cellshow implement stateofcharge soc estimator lithiumion battery cellshow implement stateofhealth soh estimator lithiumion battery cellshow design balancer powerlimits estimator lithiumion battery pack,1.7079194733876615,0.0,-0.2967418445758224,"['implement state-of-health estimator for lithium-ion battery cell', 'design equivalent-circuit model for lithium-ion battery cell', 'implement state-of-charge estimator for lithium-ion battery cell', 'understand how lithium-ion battery cell work and basic requirement of battery-management system', 'understand balancing requirement and implement power estimator for lithium-ion battery pack']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,introduction to html5,recognize use common tag aware editor use one compose code create image link,-0.47238501896724894,0.0,-0.2967418445758224,"['web design', 'web accessibility', 'html', 'html5']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,introduction to data analytics for business,describe information lifecycle event real world business action recognize type event characteristic often used business analyticsexplain data captured source system stored using traditional emergent technologiesgain familiarity relational database learn use simple powerful language called sql extract analytical data set interest,-0.47238501896724894,0.0,-0.2967418445758224,"['data model', 'data quality', 'data analysis', 'sql']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,creative thinking technique and tool for success,understand creative thinking technique arecomprehend importance tackling global challenge well everyday problemsolving scenariosselect apply appropriate technique based opportunity seize problem tackle,-0.3123626709045032,0.0,-0.2967418445758224,"['creative thinking', 'problem solving', 'creativity', 'brainstorming']",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
