Course Title,Level,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url,Duration to complete (Approx.),Price,Course Picture Url
Search Engine Optimization (SEO) Specialization,Beginner level,Complete a competitive analysis on a webpage  Develop a solid approach for achieving a productive and successful relationship with your client  Create influencer relationships and collaborations and analyze data to see which content gets the most sharesCreate a final report of your findings and recommendations for SEO and present your recommendations to your client  ,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media Marketing, Social Media, Content Marketing, Keyword Research, Marketing","Introduction to Google SEO, Google SEO Fundamentals, Optimizing a Website for Google Search, Advanced Content and Social Tactics to Optimize SEO, Google SEO Capstone Project","Chancellor Thomas Pascale, Robert W. Holthausen",Vanderbilt University,Health,https://www.coursera.org/specializations/seo,120,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6e/2fe210ba5011e5a8a509723fe94c08/seo_thumb.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Think Outside the Inbox: Email Marketing,Beginner level,"Understand how email marketing fits into a digital marketing strategyWrite effective email copy, subject lines, and preview textTest, execute, and optimize an email marketing campaignMeasure and analyze email campaign results","Email marketing analytics, Email Writing, Contact management, Email marketing strategy, Email list segmentation","Introduction to think outside the inbox: email marketing, Types of email marketing, Useful tools for email marketing, Collect and analyze email campaign data, Run your own email marketing campaign","Akos Ledeczi, Ron Berman, Jeffrey Nytch, Lori Poole",University of Colorado Boulder,Business,https://www.coursera.org/learn/think-outside-the-inbox,25,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/aa/a8f062634547039292672049853487/4_Alex.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces
Create Successful Pinterest Pins for Business in Canva,Beginner level,"Create Successful Pinterest Pins for BusinessPinterest Pins tips and  hacks , Convert static pin to video pinPreview, Share, Download and Publish pins","Canva, Marketing, Pinterest, Graphic Design",Learn step-by-step,"Harsha Gangadharbatla, Collin Paschall, Charles Russell Severance, Maxwell Cassity, Martine Haas",Arizona State University,Business,https://www.coursera.org/projects/create-successful-pinterest-pins-for-business-in-canva,1,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/88/08af1d1cee4fe78decaaa41272fd36/Coursera-Logos-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
"Core 2: OS, Software, Security and Operational Procedures",Intermediate level,"List common features and commands of Microsoft Windows, Apple macOS, Linux OSs, and adjust preferences with command line and console tools. Describe OS features, how to install and update OS, troubleshoot common issues, and summarize the importance of SOHO networks. Explain the advantages of using active directory, MS Windows security tools, and data destruction to secure mobile devices. Evaluate IT support practices while assessing the utility of privacy, automation, safety, and control methods and define malware best practices.","Technical Support, security, Operating Systems, IT Troubleshooting, Mobile Devices","Microsoft Windows Operating System Overview and Management, macOS, Linux, and Mobile Operating System Overview and Management, Device and Home Network Security, Software Troubleshooting, Operational Procedures, Final Exam\xa0and Honors Final Project","Noah Gans, Manuel Laguna, Christian Terwiesch, Stephany Duda",University of Pennsylvania,Information Technology,https://www.coursera.org/learn/core2-os-software-security-and-operational-procedures,24,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ae/e2ba7905dc4319b1f2b5355a0ad045/AdobeStock_571468574.jpeg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Structural Racism: Causes of Health Inequities in the U.S.,Beginner level,"Describe the impact of structural racism on individuals.Identify and discuss how historical events, policies and socio-political institutions have shaped and contributed to current health inequities.Apply public writing strategies to work against racial inequities in health.","healthcare, Inequities","Course Introduction & Policy, Politics, and Racial Health Inequities, Historical Roots of Health Inequities, State Violence and Health Inequities ","Kariann Yokota, Eric Bradlow",Imperial College London,Health,https://www.coursera.org/learn/structural-racism-causes-of-health-inequities-in-the-us,17,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/99/52c39f27ef4239b4f38ebdd9201601/structural_racism_course_image.jpeg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,Intermediate level,Learn the skills needed to be successful in a cloud architect rolePrepare for the Professional Cloud Architect certificationLearn about the infrastructure and platform services provided by Google Cloud Platform,"Load Balancing, Virtual Private Network (VPN), Google Cloud Platform, Autoscaling, Google Compute Engine, Virtual Machine, Network Architecture, Google App Engine (GAE), Cloud Computing, Disaster Recovery, Site Reliability Engineering, Debugging, Cloud Storage, Data Store","Google Cloud Fundamentals: Core Infrastructure, Essential Google Cloud Infrastructure: Foundation, Essential Google Cloud Infrastructure: Core Services, Elastic Google Cloud Infrastructure: Scaling and Automation, Reliable Google Cloud Infrastructure: Design and Process, Architecting with Google Kubernetes Engine: Foundations, Preparing for your Professional Cloud Architect Journey","Cade Massey, David Glimp, Robert W. Holthausen, Roger D. Peng",Vanderbilt University,Information Technology,https://www.coursera.org/professional-certificates/gcp-cloud-architect,40,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/714104d1c241e8981bb58390da9811/Option-2_1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Algorithms for Battery Management Systems Specialization,Intermediate level,How to design equivalent-circuit models for lithium-ion battery cellsHow to implement state-of-charge (SOC) estimators for lithium-ion battery cellsHow to implement state-of-health (SOH) estimators for lithium-ion battery cellsHow to design balancers and power-limits estimators for lithium-ion battery packs,"Implement state-of-health estimators for lithium-ion battery cells, Design equivalent-circuit models for lithium-ion battery cells, Implement state-of-charge estimators for lithium-ion battery cells, Understand how lithium-ion battery cells work and basic requirements of battery-management systems, Understand balancing requirements and implement power estimators for lithium-ion battery packs","Introduction to battery-management systems, Equivalent Circuit Cell Model Simulation, Battery State-of-Charge (SOC) Estimation, Battery State-of-Health (SOH) Estimation, Battery Pack Balancing and Power Estimation",Andrew Kandel,University of Glasgow,Physical Science and Engineering,https://www.coursera.org/specializations/algorithms-for-battery-management-systems,120,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0e/3a17d0431211e7997403f08648ab8e/Specialization-Icon.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to HTML5,Beginner level, Recognize and use common HTML5 tags. Be aware of what an editor is and how to use one. Compose HTML5 code that can create images and links.,"Web Design, Web Accessibility, HTML, Html5","Week One: Learning About the Web, Week Two: Structure of a Web Page, Week Three: Hosting and Accessibility","Melanie Manos, Akos Ledeczi, Scott DeRue",University of Colorado Boulder,Computer Science,https://www.coursera.org/learn/html,11,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/32/b88140502611e5bf374909c194f0db/introhtml_thumnail_1x1.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Introduction to Data Analytics for Business,Beginner level,Describe the information lifecycle from events in the real world to business actions Recognize the types of events and characteristics that are often used in business analyticsExplain how the data is captured by source systems and stored using both traditional and emergent technologiesGain familiarity with relational databases and learn how to use a simple but powerful language called SQL to extract analytical data sets of interest,"Data Model, Data Quality, Data Analysis, SQL","Data and Analysis in the Real World, Analytical Tools, Data Extraction Using SQL, Real World Analytical Organizations","Greg Urban, Sergei Savin, Scott Piper, Garud Iyengar, Roy Rosin",Imperial College London,Computer Science,https://www.coursera.org/learn/data-analytics-business,11,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/ed/507ce0715611e6b6f35f5f102d7818/AdobeStock_44161057--square.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
Creative Thinking: Techniques and Tools for Success,Beginner level,Understand what creative thinking techniques areComprehend their importance in tackling global challenges as well as in everyday problem-solving scenariosSelect and apply the appropriate technique based on the opportunity to seize or the problem to tackle,"Creative Thinking, Problem Solving, Creativity, Brainstorming","Introduction to the Principles of Creativity, Creativity Tools, Thinking Styles, Morphological Analysis, TRIZ - the Theory of Inventive Problem Solving, SCAMPER, Using the Tools in Combination","Mauro Guillen, Daniel Romero, Ibrahim Odeh, Daniel Walkes",Columbia University,Personal Development,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,19,0,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/88/ebc021015445b3be6555240ed48aa8/CTT_course-image_Coursera.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=204&fit=crop&q=50
